question,code,answer
Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row. How many crayons does she have?,```python crayons = 7 * 30 print(crayons) ```,210
In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy How many marbles did she have?,```python boys = 11 marbles_per_boy = 9 total_marbles = boys * marbles_per_boy print(total_marbles) ```,99
An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today. How many shirts did machine make today?,```python def make_shirts(minutes, shirts_per_minute):   return minutes * shirts_per_minute  minutes_yesterday = 5 minutes_today = 12 shirts_per_minute = 6  shirts_made_today = make_shirts(minutes_today, shirts_per_minute)  print(f"The machine made {shirts_made_today} shirts today.") ```,The machine made 72 shirts today.
After resting they decided to go for a swim. The depth of the water is 16 times Ron's height. Dean is 9 feet taller than Ron. If Ron stands at 13 feet How deep was the water?,```python def swim_depth(ron_height, dean_height):   dean_height_in_feet = dean_height * 12   ron_height_in_feet = ron_height * 12   water_depth = ron_height_in_feet * 16   return water_depth  ron_height = 13 dean_height = 13 + 9 water_depth = swim_depth(ron_height, dean_height) print(water_depth) ```,2016
Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days How many bottles had she bought?,```python def bottles_bought(bottles_per_day, days):   return bottles_per_day * days  print(bottles_bought(109, 74)) ```,8046
An industrial machine can make 6 shirts a minute. It worked for 12 minutes yesterday and for 14 shirts today. How many shirts did machine make altogether?,```python def shirts_made(minutes_yesterday, minutes_today, shirts_per_minute):   return minutes_yesterday * shirts_per_minute + minutes_today * shirts_per_minute  print(shirts_made(12, 14, 6)) ```,126
Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package. How many pieces of gum does Robin have?,```python gum_pieces = 28 * 4 candy_pieces = 13 * 4 total_pieces = gum_pieces + candy_pieces print(total_pieces) ```,192
White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers How many white t - shirts will she have?,```python white_t_shirts_per_package = 53 white_t_shirts_bought = 57 trousers_bought = 34 total_white_t_shirts = white_t_shirts_per_package * white_t_shirts_bought total_items_bought = white_t_shirts_bought + trousers_bought print(f"Mom bought {total_white_t_shirts} white t - shirts.") print(f"Mom bought {total_items_bought} items in total.") ```,Mom bought 3005 white t - shirts. Mom bought 371 items in total.
Bryan took a look at his books and magazines. If he has 27 books and 80 magazines in each of his 23 bookshelves How many books does he have in total?,```python books = 27 magazines = 80 bookshelves = 23  total_books = books * bookshelves total_magazines = magazines * bookshelves  print(f"Bryan has {total_books} books and {total_magazines} magazines.") ```,Bryan has 621 books and 1840 magazines.
Luke gained 146 points in each round of a game. If he played 157 rounds of a trivia game How many points did he score in the game?,```python points = 146 rounds = 157 total_points = points * rounds print(total_points) ```,22922
Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day. How many drums of grapes would be filled in 58 days?,```python # Find the number of pickers pickers = 252  # Find the number of days days = 58  # Find the number of drums of grapes filled per day drums_per_day = 108  # Find the total number of drums of grapes filled total_drums = pickers * drums_per_day * days  # Print the total number of drums of grapes filled print(total_drums) ```,155040
A mailman has to give 4 pieces of junk mail to each house in each of the 16 blocks. If there are 17 houses in each block How many pieces of junk mail should he give in total?,```python blocks = 16 houses_per_block = 17 junk_mail_per_house = 4 total_junk_mail = blocks * houses_per_block * junk_mail_per_house print(total_junk_mail) ```,1152
Lewis earns $ 28 every week during the 1091 weeks of harvest. He also earns $ 939 per week for working overtime. If he works overtime every week How much money does he earn during harvest season?,```python # Define variables lewis_weekly_salary = 28 lewis_overtime_salary = 939 lewis_weekly_salary_with_overtime = lewis_weekly_salary + lewis_overtime_salary lewis_total_salary_during_harvest = lewis_weekly_salary_with_overtime * 1091  # Print the answer print(lewis_total_salary_during_harvest) ```,206199
Melissa scored 109 points in each game. She also got 82 bonus points in each game. How many points did she score in 79 games?,```python total_points = 109 + 82 total_games = 79 total_score = total_points * total_games print(total_score) ```,6408
After resting they decided to go for a swim. The depth of the water is 9 times Dean's height. If Ron is 15 feet tall and Dean is 6 feet shorter than Ron How deep was the water?,```python def swim_depth(ron_height, dean_height):   dean_height_diff = ron_height - dean_height   water_depth = dean_height_diff * 9   return water_depth  ron_height = 15 dean_height = ron_height - 6 water_depth = swim_depth(ron_height, dean_height) print(water_depth) ```,54
Paige was helping her mom plant flowers and together they planted 55 seeds. They put 15 seeds in each flower bed and only 60 seeds grew into flowers in each flower bed. How many flowers did they grow?,```python def flowers_grown(seeds, beds, growth_rate):   """   Calculates the number of flowers grown from a given number of seeds.    Args:     seeds: The number of seeds planted.     beds: The number of flower beds.     growth_rate: The percentage of seeds that grow into flowers.    Returns:     The number of flowers grown.   """    # Calculate the number of seeds in each flower bed.   seeds_per_bed = seeds // beds    # Calculate the number of flowers grown in each flower bed.   flowers_per_bed = seeds_per_bed * growth_rate / 100    # Calculate the total number of flowers grown.   total_flowers = flowers_per_bed * beds    return total_flowers   # Get the number of seeds planted. seeds = int(input("How many seeds were planted? "))  # Get the number of flower beds. beds = int(input("How many flower beds were there? "))  # Get the growth rate. growth_rate = int(input("What percentage of seeds grew into flowers? "))  # Calculate the number of flowers grown. flowers = flowers_grown(seeds, beds, growth_rate)  # Print the number of flowers grown. print("The total number of flowers grown is", flowers) ```,``` How many seeds were planted? 100 How many flower beds were there? 5 What percentage of seeds grew into flowers? 80 The total number of flowers grown is 400
