question,code,answer
Frank was reading through his favorite book. The book had 193 pages equally distributed over 15 chapters. It took Frank 660 days to finish the book. How many chapters did he read per day?,```python pages_per_chapter = 193 / 15 days_per_chapter = 660 / 15 print(days_per_chapter) ```,44
Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends. How many crackers did each friend eat?,```python crackers_per_friend = (23 - 11) / 2 print(crackers_per_friend) ```,6
Melissa scored a total of 91 points in 13 games scoring the same for each game. How many points did she score in each game?,```python points_per_game = 91 / 13 print(points_per_game) ```,6.923076923076923
The school is planning a field trip. The school has 21 classrooms. There are 98 students in the school and 7 school buses. If all buses are full How many seats are in each bus?,```python # Calculate the total number of students in the school total_students = 21 * 98  # Calculate the number of students per bus students_per_bus = total_students / 7  # Print the number of seats per bus print(students_per_bus) ```,30
White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total How many white t - shirts does each package have?,```python # White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total How many white t - shirts does each package have?  # Define the number of packages and the total number of white t - shirts packages = 28 total_t_shirts = 56  # Calculate the number of white t - shirts in each package t_shirts_per_package = total_t_shirts / packages  # Print the number of white t - shirts in each package print(t_shirts_per_package) ```,2
If you had 33 cookies and each bag has 11 cookies How many bags of cookies do you have?,```python cookies = 33 cookies_per_bag = 11 bags = cookies // cookies_per_bag print(bags) ```,3
There are 270 students in a school. If the school has 5 students in each grades and each grade has the same number of students How many grades are there in total?,```python students_per_grade = 270 / 5 print(students_per_grade) ```,54
A mailman has to give 32 pieces of junk mail to each of the 55 blocks. If he gives 8 mails to each house in a block How many houses are there in a block?,```python blocks = 55 junk_mail_per_block = 32 mail_per_house = 8 houses_per_block = junk_mail_per_block // mail_per_house print(houses_per_block) ```,4
Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies How many did each of them have?,def cookies(total, eaten):     left = total - eaten     per_person = left / 5     return per_person   print(cookies(22, 17)),3
He had a total of 40 saltwater animals in different aquariums. Each aquarium has 2 animals in it. How many aquariums did he have?,```python aquariums = 40 // 2 print(aquariums) ```,20
Bryan took a look at his books as well. If he has a total of 42 books and each bookshelf contains 2 books How many bookshelves does he have?,```python books = 42 books_per_shelf = 2 bookshelves = books // books_per_shelf print(bookshelves) ```,21
There are 203 bananas and 63 oranges in Philip's collection. If the bananas are organized into 7 groups and oranges are organized into 95 groups How big is each group of bananas?,```python bananas = 203 oranges = 63 banana_groups = 7 orange_groups = 95  banana_group_size = bananas / banana_groups orange_group_size = oranges / orange_groups  print(f"Each group of bananas has {banana_group_size} bananas.") print(f"Each group of oranges has {orange_group_size} oranges.") ```,Each group of bananas has 29.0 bananas. Each group of oranges has 0.6666666666666666 oranges.
There are 87 oranges and 290 bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into 93 groups How big is each group of bananas?,```python # Define the number of oranges and bananas in Philip's collection oranges = 87 bananas = 290  # Calculate the number of bananas in each group bananas_per_group = bananas // 2  # Print the number of bananas in each group print(bananas_per_group) ```,145
There are 384 oranges and 192 bananas in Philip's collection. If the bananas are organized into 345 groups and oranges are organized into 16 groups How big is each group of oranges?,```python # Define the number of oranges and bananas in Philip's collection oranges = 384 bananas = 192  # Define the number of groups of bananas and oranges banana_groups = 345 orange_groups = 16  # Calculate the size of each group of oranges orange_group_size = oranges / orange_groups  # Print the size of each group of oranges print(f"Each group of oranges has {orange_group_size} oranges.") ```,Each group of oranges has 24 oranges.
Frank was reading through his favorite book. The book had 392 pages and he read 14 pages per day. How many days did he take to finish the book?,```python days = 392 // 14 print(days) ```,28
Faye was placing her pencils into rows with 5 pencils in each row. If she had 35 pencils and 7 crayons How many rows could she make?,```python pencils = 35 crayons = 7 total_items = pencils + crayons rows = total_items // 5 print(rows) ```,7
The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,```python # Define the number of seats on the Ferris wheel num_seats = 4  # Define the total number of people who can ride the wheel at the same time total_people = 20  # Calculate the number of people each seat can hold people_per_seat = total_people / num_seats  # Print the number of people each seat can hold print(f"Each seat can hold {people_per_seat} people.") ```,Each seat can hold 5 people.
A mailman gives 2 junk mails to each house in a block. If the mailman has to give 14 pieces of junk mail to each block. How many houses are there in a block?,```python def number_of_houses(junk_mail_per_house, total_junk_mail):   return total_junk_mail // junk_mail_per_house   number_of_houses = number_of_houses(2, 14) print(number_of_houses) ```,7
Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 32 crackers and 98 cakes initially How many crackers did each person eat?,```python crackers_per_person = 32 // 4 cakes_per_person = 98 // 4 print(f"Each person ate {crackers_per_person} crackers and {cakes_per_person} cakes.") ```,Each person ate 8 crackers and 24 cakes.
He then went to see the oranges being harvested. He found out that they harvested 56 sacks of oranges. How many sacks did they harvest per day if they harvested for a total of 14 days?,```python sacks_per_day = 56 / 14 print(sacks_per_day) ```,4
For 19 weeks of harvest Lewis earns a total of $ 133. How much money does he earn each week?,```python # Define the variables Lewis_total_earnings = 133 Lewis_number_of_weeks = 19  # Calculate the amount of money Lewis earns each week Lewis_weekly_earnings = Lewis_total_earnings / Lewis_number_of_weeks  # Print the result print(f"Lewis earns $ {Lewis_weekly_earnings} each week.") ```,Lewis earns $ 6.95 each week.
If you have 14 cookies in total and 7 bags having equal number of cookies How many cookies does each bag have?,```python cookies_per_bag = 14 // 7 print(f"Each bag has {cookies_per_bag} cookies.") ```,Each bag has 2 cookies.
Matthew gave equal numbers of crackers to his 18 friends. If he had 36 crackers How many crackers did each person eat?,```python crackers_per_person = 36 / 18 print(crackers_per_person) ```,2
For the walls of the house he would use 11 nails in all to secure large planks of wood. If each plank needs 3 pieces of nails to be secured and an additional 8 nails were used. How many planks does John need for the house wall?,```python nails_per_plank = 3 total_nails = 11 additional_nails = 8 planks = (total_nails - additional_nails) / nails_per_plank print(f"John needs {planks} planks for the house wall.") ```,4
The school is planning a field trip. The school has 24 classrooms. There are 120 students in the school with each classroom having the same number of students. There are 84 seats on each school bus. How many students are in each class?,```python # Define the number of classrooms and students in the school classrooms = 24 students = 120  # Calculate the number of students in each classroom students_per_classroom = students / classrooms  # Print the number of students in each classroom print(f"There are {students_per_classroom} students in each classroom.")  # Calculate the number of school buses needed for the field trip buses_needed = students / 84  # Print the number of school buses needed for the field trip print(f"{buses_needed} school buses are needed for the field trip.") ```,There are 5 students in each classroom. 5 school buses are needed for the field trip.
He then went to see the oranges being harvested. He found out that the harvest will go on for 4 days. How many sacks do they harvest per day if they harvested a total of 56 sacks of oranges?,```python sacks_per_day = 56 / 4 print(sacks_per_day) ```,14
Jesse's room is 7 feet long. If she needs a carpet of size 14 square feet What is the width of her room?,```python width = 14 / 7 print(width) ```,2
They decided to hold the party in their backyard. They have 2 sets of tables, each having the same number of chairs. If there are a total of 12 chairs in the backyard How many chairs are there for each table?,```python chairs_per_table = 12 // 2 print(chairs_per_table) ```,6
Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day How many days would the water bottles last?,```python water_bottles = 88 soda_bottles = 13 water_per_day = 4 soda_per_day = 87 days = water_bottles / water_per_day print(days) ```,22
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,```python bananas_per_group = 392 / 196 print(bananas_per_group) ```,2
In Haley's class 13 boys love to play marbles and 50 boys love to play cards. If Haley has 26 marbles How many will each of the boys receive?,```python # Define the number of boys who love to play marbles and cards boys_who_love_marbles = 13 boys_who_love_cards = 50  # Define the number of marbles Haley has marbles = 26  # Calculate the number of marbles each boy who loves marbles will receive marbles_per_boy_who_loves_marbles = marbles / boys_who_love_marbles  # Calculate the number of marbles each boy who loves cards will receive marbles_per_boy_who_loves_cards = marbles / boys_who_love_cards  # Print the number of marbles each boy who loves marbles will receive print(f"Each boy who loves marbles will receive {marbles_per_boy_who_loves_marbles} marbles.")  # Print the number of marbles each boy who loves cards will receive print(f"Each boy who loves cards will receive {marbles_per_boy_who_loves_cards} marbles.") ```,Each boy who loves marbles will receive 2.0 marbles. Each boy who loves cards will receive 0.52 marbles.
Rebecca wants to split a collection of marbles into groups of 4. Rebecca has 10 eggs and 20 marbles. How many groups will be created?,```python def marbles_into_groups(eggs, marbles):   groups = marbles // 4   return groups  print(marbles_into_groups(10, 20)) ```,5
Faye was placing some pencils equally into 2 rows. If she had 6 pencils How many pencils did she place in each row?,```python pencils = 6 rows = 2 pencils_per_row = pencils // rows print(pencils_per_row) ```,3
Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12. How much did each book cost?,```python books_cost = 12 - 6 books_cost_per_book = books_cost / 2 print(books_cost_per_book) ```,3
Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package. How many pieces does Robin have?,```python gum_pieces = 28 * 6 candy_pieces = 14 * 6 total_pieces = gum_pieces + candy_pieces print(total_pieces) ```,1008
Jesse's room is 2 feet long and 12 feet wide. If each tile is of size 4 square feet How many tiles does she need to cover the whole floor?,```python def get_tiles(length, width, tile_size):   """   Calculates the number of tiles needed to cover a floor of given dimensions.    Args:     length: The length of the floor in feet.     width: The width of the floor in feet.     tile_size: The size of each tile in square feet.    Returns:     The number of tiles needed to cover the floor.   """    area = length * width   tiles = area // tile_size   return tiles   def main():   """   Gets the dimensions of a room and the size of each tile, then calculates   the number of tiles needed to cover the floor.   """    length = float(input("Enter the length of the room in feet: "))   width = float(input("Enter the width of the room in feet: "))   tile_size = float(input("Enter the size of each tile in square feet: "))    tiles = get_tiles(length, width, tile_size)    print("You need {} tiles to cover the floor.".format(tiles))   if __name__ == "__main__":   main() ```,Enter the length of the room in feet: 10 Enter the width of the room in feet: 12 Enter the size of each tile in square feet: 1 You need 120 tiles to cover the floor.
The school is planning a field trip. The school has 66 classrooms. There are 102 students in the school and 8 seats on each school bus. If 22 students do n't want to go for the trip How many buses are needed to take the trip?,```python # Calculate the number of students who are going on the trip students_going = 102 - 22  # Calculate the number of buses needed buses_needed = students_going // 8  # Print the number of buses needed print(buses_needed) ```,13
4 people can ride the Ferris wheel in paradise park at the same time. If each seat on the Ferris wheel can hold 2 people How many seats does the Ferris wheel have?,```python num_people = 4 num_seats_per_ride = 2 num_seats = num_people // num_seats_per_ride print(num_seats) ```,2
Frank was reading through his favorite book. The book had 3 chapters, each with the same number of pages. It has a total of 594 pages. It took Frank 607 days to finish the book. How many pages are in each chapter?,```python total_pages = 594 days_per_chapter = 607 / 3 pages_per_chapter = total_pages / days_per_chapter print(pages_per_chapter) ```,198
Lewis earns a total of $ 1216 during the harvest. If he earns $ 16 each week How many weeks did the harvest last?,```python weeks = 1216 // 16 print(weeks) ```,76
The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,```python money_per_day = 165 / 5 print(money_per_day) ```,33
The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time How many seats does the Ferris wheel have?,```python seats = 18 // 9 print(seats) ```,2
With 28 dollars 2 packs of dvds can be bought. How much does each pack cost?,```python price_per_pack = 28 / 2 print(price_per_pack) ```,14
If each bag has 3 cookies and you had 21 cookies in total How many bags of cookies do you have?,```python cookies_per_bag = 3 total_cookies = 21 bags_of_cookies = total_cookies // cookies_per_bag print(bags_of_cookies) ```,7
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 94 of the pickers that they fill 90 drums of grapes in 6 days. How many drums of grapes would be filled per day?,```python # Get the number of pickers pickers = 94  # Get the number of drums of grapes filled drums = 90  # Get the number of days days = 6  # Calculate the number of drums of grapes filled per day drums_per_day = drums / days  # Print the number of drums of grapes filled per day print(drums_per_day) ```,15
Jesse needs a carpet of size 10 square feet to cover her room. If her room is 5 feet long What is the width of her room?,```python width = 10 / 5 print(width) ```,2
There are 4502 skittles in Steven's skittles collection. Steven also has 4276 erasers. If the skittles and erasers are organized into 154 groups How big is each group?,```python total_items = 4502 + 4276 num_groups = 154 group_size = total_items // num_groups print(group_size) ```,30
Frank was reading through some books. Each book had 66 pages and it took Frank 12 days to finish each book. If he takes 492 days to finish all books How many books did he read?,```python books = 492 // 12 pages = books * 66 print(f"Frank read {books} books and {pages} pages.") ```,Frank read 41 books and 2706 pages.
In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?,```python boys = 10 // 5 print(boys) ```,2
Luke scored 84 points after playing 2 rounds of a trivia game. If he gained the same number of points each round How many points did he score per round?,```python points_per_round = 84 / 2 print(points_per_round) ```,42
Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed. How many flower beds did they have?,```python # Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed. How many flower beds did they have?  flower_beds = 36 / 12 flowers_per_bed = 58  print(flower_beds) ```,3
