question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch>To subtract 16 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf How many more action figures than books were on his shelf? The word problem can be solved by subtracting 10 from 16.  ,<scratch>To subtract 10 from 16, we can think of it as subtracting the digits in each place value. Subtracting 6 and 0 gives 6. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost? The word problem can be solved by subtracting 161 from 571.  ,<scratch>To subtract 161 from 571, we can think of it as subtracting the digits in each place value. Subtracting 1 and 7 gives 6. Subtracting 6 and 1 gives 5. After subtracting all digits, we get the difference, which is 410. </scratch>,410
Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening. How many more emails did Jack receive in the morning than in the evening? The word problem can be solved by subtracting 7 from 9.  ,<scratch>To subtract 7 from 9, we can think of it as subtracting the digits in each place value. Subtracting 9 and 7 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning? The word problem can be solved by subtracting 6 from 8.  ,<scratch>To subtract 6 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 6 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today? The word problem can be solved by subtracting 66 from 197.  ,<scratch>To subtract 66 from 197, we can think of it as subtracting the digits in each place value. Subtracting 7 and 6 gives 1. Subtracting 9 and 6 gives 3. After subtracting all digits, we get the difference, which is 131. </scratch>,131
Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches. How many peaches does Jill have? The word problem can be solved by subtracting 13 from 19.  ,<scratch>To subtract 13 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 3 gives 6. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery How many packs of cake did she buy in all? The word problem can be solved by subtracting 23 from 27.  ,<scratch>To subtract 23 from 27, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. Subtracting 2 and 2 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese? The word problem can be solved by subtracting 3 from 6.  ,<scratch>To subtract 3 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 3 gives 3. Subtracting 0 and 0 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter? The word problem can be solved by subtracting 11 from 48.  ,<scratch>To subtract 11 from 48, we can think of it as subtracting the digits in each place value. Subtracting 8 and 1 gives 7. Subtracting 4 and 1 gives 3. After subtracting all digits, we get the difference, which is 37. </scratch>,37
6 green peaches, 60 yellow peaches and 2 red peaches are in the basket. How many more green peaches than red peaches are in the basket? The word problem can be solved by subtracting 2 from 6.  ,<scratch>To subtract 2 from 6, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 4. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 4. </scratch>,4
There were 22 parents in the program and 676 people in total. How many pupils were present in the program? The word problem can be solved by subtracting 22 from 676.  ,<scratch>To subtract 22 from 676, we can think of it as subtracting the digits in each place value. Subtracting 6 and 2 gives 4. Subtracting 7 and 0 gives 7. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 654. </scratch>,654
Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g How many grams of wax does he already have? The word problem can be solved by subtracting 260 from 288.  ,<scratch>To subtract 260 from 288, we can think of it as subtracting the digits in each place value. Subtracting 8 and 0 gives 8. Subtracting 6 and 2 gives 4. After subtracting all digits, we get the difference, which is 28. </scratch>,28
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches. How many more peaches does Jill have than Jake? The word problem can be solved by subtracting 11 from 12.  ,<scratch>To subtract 11 from 12, we can think of it as subtracting the digits in each place value. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples. How many peaches does Jake have? The word problem can be solved by subtracting 12 from 19.  ,<scratch>To subtract 12 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 07. </scratch>,7
There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books How many more books than movies have you read? The word problem can be solved by subtracting 14 from 19.  ,<scratch>To subtract 14 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 4 gives 5. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 05. </scratch>,5
There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left. How much did she spend? The word problem can be solved by subtracting 159 from 248.  ,<scratch>To subtract 159 from 248, we can think of it as subtracting the digits in each place value. Subtracting 9 and 9 gives 0. Subtracting 5 and 8 gives 3. Subtracting 1 and 4 gives -3. After subtracting all digits, we get the difference, which is 03. </scratch>,89
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Katie had 81 ds games and her friends had 59 games. How many more games does Katie have than her friends? The word problem can be solved by subtracting 59 from 81.  ,<scratch>To subtract 59 from 81, we can think of it as subtracting the digits in each place value. Subtracting 9 and 1 gives 8. Subtracting 5 and 8 gives 3. After subtracting all digits, we get the difference, which is 22. </scratch>,22
Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday. How many more kids did she play with on monday than on tuesday? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 5 and 0 gives 6. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday? The word problem can be solved by subtracting 4 from 18.  ,<scratch>To subtract 4 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 4 gives 4. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 14. </scratch>,14
Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf? The word problem can be solved by subtracting 3 from 6.  ,<scratch>To subtract 3 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 3 gives 3. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left. How many more files than apps does he have left on the phone? The word problem can be solved by subtracting 6 from 15.  ,<scratch>To subtract 6 from 15, we can think of it as subtracting the digits in each place value. Subtracting 5 and 6 gives 9. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 09. </scratch>,9
Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes. How many more cakes did baker buy than those he sold? The word problem can be solved by subtracting 89 from 167.  ,<scratch>To subtract 89 from 167, we can think of it as subtracting the digits in each place value. Subtracting 7 and 9 gives 8. Subtracting 6 and 8 gives 8. After subtracting all digits, we get the difference, which is 78. </scratch>,78
David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do? The word problem can be solved by subtracting 9 from 44.  ,<scratch>To subtract 9 from 44, we can think of it as subtracting the digits in each place value. Subtracting 4 and 9 gives 5. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 35. </scratch>,35
There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase. How many roses did she cut? The word problem can be solved by subtracting 7 from 20.  ,<scratch>To subtract 7 from 20, we can think of it as subtracting the digits in each place value. Subtracting 0 and 7 gives 13. Subtracting 2 and 0 gives 1. After subtracting all digits, we get the difference, which is 13. </scratch>,13
Baker made 13 cakes. He sold 91 of them and bought 154 new cakes. How many more cakes did baker buy than those he sold? The word problem can be solved by subtracting 91 from 154.  ,<scratch>To subtract 91 from 154, we can think of it as subtracting the digits in each place value. Subtracting 4 and 1 gives 3. Subtracting 5 and 9 gives 6. After subtracting all digits, we get the difference, which is 63. </scratch>,63
He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day? The word problem can be solved by subtracting 60 from 71.  ,<scratch>To subtract 60 from 71, we can think of it as subtracting the digits in each place value. Subtracting 1 and 0 gives 1. Subtracting 7 and 6 gives 1. After subtracting all digits, we get the difference, which is 11. </scratch>,11
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park? The word problem can be solved by subtracting 21 from 53.  ,<scratch>To subtract 21 from 53, we can think of it as subtracting the digits in each place value. Subtracting 3 and 1 gives 2. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 32. </scratch>,32
There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase. How many roses did she cut? The word problem can be solved by subtracting 2 from 27.  ,<scratch>To subtract 2 from 27, we can think of it as subtracting the digits in each place value. Subtracting 7 and 2 gives 5. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 25. </scratch>,25
Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf? The word problem can be solved by subtracting 6 from 7.  ,<scratch>To subtract 6 from 7, we can think of it as subtracting the digits in each place value. Subtracting 6 and 7 gives -1. After subtracting all digits, we get the difference, which is -1. </scratch>,5
In a school there are 34 girls and 841 boys. How many more boys than girls does the school have? The word problem can be solved by subtracting 34 from 841.  ,<scratch>To subtract 34 from 841, we can think of it as subtracting the digits in each place value. Subtracting 1 and 4 gives 7. Subtracting 8 and 3 gives 5. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 807. </scratch>,807
Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy How many pieces of candy had he eaten at the start? The word problem can be solved by subtracting 25 from 43.  ,<scratch>To subtract 25 from 43, we can think of it as subtracting the digits in each place value. Subtracting 3 and 5 gives 8. Subtracting 4 and 2 gives 2. After subtracting all digits, we get the difference, which is 18. </scratch>,18
53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many more campers went rowing in the morning than in the evening? The word problem can be solved by subtracting 49 from 53.  ,<scratch>To subtract 49 from 53, we can think of it as subtracting the digits in each place value. Subtracting 9 and 3 gives 6. Subtracting 4 and 5 gives 1. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon? The word problem can be solved by subtracting 3 from 5.  ,<scratch>To subtract 3 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 3 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Rachel had to complete 3 pages of math homework and 4 pages of reading homework. How many more pages of reading homework than math homework did she have? The word problem can be solved by subtracting 3 from 4.  ,<scratch>To subtract 3 from 4, we can think of it as subtracting the digits in each place value. Subtracting 4 and 3 gives 1. After subtracting all digits, we get the difference, which is 1.</scratch>,1
A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long. How many more pages does the second chapter have than the first chapter? The word problem can be solved by subtracting 37 from 80.  ,<scratch>To subtract 37 from 80, we can think of it as subtracting the digits in each place value. Subtracting 0 and 7 gives 3. Subtracting 8 and 3 gives 5. After subtracting all digits, we get the difference, which is 43. </scratch>,43
There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies How many more movies do you still have to watch? The word problem can be solved by subtracting 4 from 8.  ,<scratch>To subtract 4 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 4 gives 4. Subtracting 0 and 0 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys. How much more does a t-shirt cost than a jersey? The word problem can be solved by subtracting 34 from 192.  ,<scratch>To subtract 34 from 192, we can think of it as subtracting the digits in each place value. Subtracting 2 and 4 gives 18. Subtracting 9 and 3 gives 6. After subtracting all digits, we get the difference, which is 158. </scratch>,158
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now How many marbles did he lose? The word problem can be solved by subtracting 4 from 9.  ,<scratch>To subtract 4 from 9, we can think of it as subtracting the digits in each place value. Subtracting 9 and 4 gives 5. After subtracting all digits, we get the difference, which is 05. </scratch>,5
They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables How many more chairs than tables do they have? The word problem can be solved by subtracting 9 from 126.  ,<scratch>To subtract 9 from 126, we can think of it as subtracting the digits in each place value. Subtracting 6 and 9 gives 7. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 117. </scratch>,117
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds. How much did his dad's strawberries weigh? The word problem can be solved by subtracting 12 from 24.  ,<scratch>To subtract 12 from 24, we can think of it as subtracting the digits in each place value. Subtracting 4 and 2 gives 2. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 12. </scratch>,12
Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add? The word problem can be solved by subtracting 2 from 13.  ,<scratch>To subtract 2 from 13, we can think of it as subtracting the digits in each place value. Subtracting 3 and 2 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 11. </scratch>,11
Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia How many more bird families flew away to asia than those that flew away to africa? The word problem can be solved by subtracting 47 from 94.  ,<scratch>To subtract 47 from 94, we can think of it as subtracting the digits in each place value. Subtracting 4 and 9 gives 5. Subtracting 7 and 4 gives 3. After subtracting all digits, we get the difference, which is 47. </scratch>,47
Zachary did 51 push-ups and David did 44 push-ups in gym class today. How many more push-ups did Zachary do than David? The word problem can be solved by subtracting 44 from 51.  ,<scratch>To subtract 44 from 51, we can think of it as subtracting the digits in each place value. Subtracting 1 and 4 gives 7. Subtracting 5 and 4 gives 1. After subtracting all digits, we get the difference, which is 07. </scratch>,7
Mary is baking a cake. The recipe calls for 6 cups of flour 8 cups of sugar and 7 cups of salt. She already put in 5 cups of flour. How many more cups of sugar than cups of salt does she need to add now? The word problem can be solved by subtracting 7 from 8.  ,<scratch>To subtract 7 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 7 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left. How many goldfish disappeared? The word problem can be solved by subtracting 2 from 16.  ,<scratch>To subtract 2 from 16, we can think of it as subtracting the digits in each place value. Subtracting 2 and 0 gives 14. Subtracting 1 and 6 gives 8. After subtracting all digits, we get the difference, which is 14. </scratch>,14
Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe How many unripe apples does the tree have now? The word problem can be solved by subtracting 3 from 5.  ,<scratch>To subtract 3 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 3 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes? The word problem can be solved by subtracting 23 from 337.  ,<scratch>To subtract 23 from 337, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. Subtracting 3 and 2 gives 1. Subtracting 0 and 0 gives 0. After subtracting all digits, we get the difference, which is 314. </scratch>,314
Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday. How many more kids did she play with on monday than on tuesday? The word problem can be solved by subtracting 7 from 9.  ,<scratch>To subtract 7 from 9, we can think of it as subtracting the digits in each place value. Subtracting 9 and 7 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
In a school there are 402 more girls than boys. If there are 739 girls How many boys are there in that school? The word problem can be solved by subtracting 402 from 739.  ,<scratch>To subtract 402 from 739, we can think of it as subtracting the digits in each place value. Subtracting 9 and 2 gives 7. Subtracting 3 and 0 gives 3. Subtracting 7 and 4 gives 3. After subtracting all digits, we get the difference, which is 337. </scratch>,337
For Gwen's birthday she received 2 dollars from her mom. Her dad gave her 4 more dollars. If she spent 3 dollars. How much money did she still have? The word problem can be solved by subtracting 3 from 6.  ,<scratch>To subtract 3 from 6, we can think of it as subtracting the digits in each place value. Subtracting 3 and 0 gives 3. Subtracting 6 and 3 gives 3. After subtracting all digits, we get the difference, which is 3. </scratch>,3
Randy has 37 blocks. He uses 33 blocks to build a tower and 13 blocks to build a house. How many more blocks did he use to build the tower than he did to build the house? The word problem can be solved by subtracting 13 from 33.  ,<scratch>To subtract 13 from 33, we can think of it as subtracting the digits in each place value. Subtracting 3 and 1 gives 2. Subtracting 3 and 0 gives 3. After subtracting all digits, we get the difference, which is 20. </scratch>,20
Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes. How many more cakes did baker sell than those he bought? The word problem can be solved by subtracting 139 from 145.  ,<scratch>To subtract 139 from 145, we can think of it as subtracting the digits in each place value. Subtracting 9 and 5 gives 4. Subtracting 3 and 4 gives 1. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon. How many more letters did Jack receive in the morning than in the afternoon? The word problem can be solved by subtracting 7 from 8.  ,<scratch>To subtract 7 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 7 gives 1. After subtracting all digits, we get the difference, which is 1.</scratch>,1
Jake has 3 fewer peaches and 10 more apples than Steven. Steven has 12 peaches and 15 apples. How many more apples than peaches does Steven have? The word problem can be solved by subtracting 12 from 15.  ,<scratch>To subtract 12 from 15, we can think of it as subtracting the digits in each place value. Subtracting 5 and 2 gives 3. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Rachel had to complete 5 pages of math homework and 2 pages of reading homework. How many more pages of math homework than reading homework did she have? The word problem can be solved by subtracting 2 from 5.  ,<scratch>To subtract 2 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Jesse's room is 19 feet wide and 20 feet long. How much longer is her room than it is wide? The word problem can be solved by subtracting 19 from 20.  ,<scratch>To subtract 19 from 20, we can think of it as subtracting the digits in each place value. Subtracting 9 and 0 gives 9. Subtracting 1 and 2 gives -1. After subtracting all digits, we get the difference, which is 09. </scratch>,1
Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser. How many more erasers than crayons did he have left? The word problem can be solved by subtracting 336 from 406.  ,<scratch>To subtract 336 from 406, we can think of it as subtracting the digits in each place value. Subtracting 6 and 3 gives 3. Subtracting 0 and 0 gives 0. Subtracting 1 and 6 gives 5. After subtracting all digits, we get the difference, which is 70. </scratch>,70
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Adam has 10 apples. Jackie has 2 apples. How many more apples does Adam have than Jackie? The word problem can be solved by subtracting 2 from 10.  ,<scratch>To subtract 2 from 10, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 8. Subtracting 1 and 0 gives 8. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Jerry had 5 action figures and 2 books on a shelf in his room. Later he added 9 more books to the shelf. How many more books than action figures were on his shelf? The word problem can be solved by subtracting 5 from 11.  ,<scratch>To subtract 5 from 11, we can think of it as subtracting the digits in each place value. Subtracting 1 and 5 gives 6. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Danny collects bottle caps and wrappers. He found 82 wrappers and 29 bottle caps at the park. Now he has 42 bottle caps and 61 wrappers in his collection. How many bottle caps did danny have at first? The word problem can be solved by subtracting 29 from 42.  ,<scratch>To subtract 29 from 42, we can think of it as subtracting the digits in each place value. Subtracting 9 and 2 gives 7. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 13. </scratch>,13
At the arcade Dave had won 13 tickets. If he used 8 to buy some toys and 18 more to buy some clothes How many more tickets did Dave use to buy clothes than he did to buy toys? The word problem can be solved by subtracting 8 from 18.  ,<scratch>To subtract 8 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 0 gives 8. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 10. </scratch>,10
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
19 red peaches, 11 yellow peaches and 12 green peaches are in the basket. How many more red peaches than yellow peaches are in the basket? The word problem can be solved by subtracting 11 from 19.  ,<scratch>To subtract 11 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 1 gives 8. Subtracting 1 and 0 gives 8. After subtracting all digits, we get the difference, which is 08. </scratch>,8
For Gwen's birthday she received 8 dollars from her mom. Her dad gave her 5 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad? The word problem can be solved by subtracting 5 from 8.  ,<scratch>To subtract 5 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 5 gives 3. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left. How many apps did he delete? The word problem can be solved by subtracting 5 from 16.  ,<scratch>To subtract 5 from 16, we can think of it as subtracting the digits in each place value. Subtracting 6 and 5 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 11. </scratch>,11
Paco had 39 sweet cookies and 6 salty cookies. He ate 23 salty cookies and 32 sweet cookies. How many more sweet cookies than salty cookies did he eat? The word problem can be solved by subtracting 23 from 32.  ,<scratch>To subtract 23 from 32, we can think of it as subtracting the digits in each place value. Subtracting 2 and 3 gives 1. Subtracting 3 and 2 gives 0. After subtracting all digits, we get the difference, which is 09. </scratch>,9
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Julia played tag with 18 kids on monday. She played tag with 10 kids on tuesday. How many more kids did she play with on monday than on tuesday? The word problem can be solved by subtracting 10 from 18.  ,<scratch>To subtract 10 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 0 gives 8. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Kelly has 46 nintendo games and 132 sony games. How many sony games does she need to give away so that she will have 31 sony games left? The word problem can be solved by subtracting 31 from 132.  ,<scratch>To subtract 31 from 132, we can think of it as subtracting the digits in each place value. Subtracting 2 and 1 gives 1. Subtracting 3 and 3 gives 0. After subtracting all digits, we get the difference, which is 101. </scratch>,101
5 red peaches and 11 green peaches are in the basket. How many more green peaches than red peaches are in the basket? The word problem can be solved by subtracting 5 from 11.  ,<scratch>To subtract 5 from 11, we can think of it as subtracting the digits in each place value. Subtracting 1 and 5 gives 6. After subtracting all digits, we get the difference, which is 06. </scratch>,6
Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework. How many more pages of math homework than reading homework did she have? The word problem can be solved by subtracting 2 from 9.  ,<scratch>To subtract 2 from 9, we can think of it as subtracting the digits in each place value. Subtracting 9 and 2 gives 7. After subtracting all digits, we get the difference, which is 07. </scratch>,7
Josh had 4 marbles in his collection. He lost 16 marbles and found 8 new ones. How many more marbles did he lose than those he found? The word problem can be solved by subtracting 8 from 16.  ,<scratch>To subtract 8 from 16, we can think of it as subtracting the digits in each place value. Subtracting 6 and 8 gives -2. Subtracting 1 and 0 gives -1. After subtracting all digits, we get the difference, which is -10. </scratch>,8
Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park? The word problem can be solved by subtracting 11 from 28.  ,<scratch>To subtract 11 from 28, we can think of it as subtracting the digits in each place value. Subtracting 8 and 1 gives 7. Subtracting 2 and 1 gives 1. After subtracting all digits, we get the difference, which is 17. </scratch>,17
Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete? The word problem can be solved by subtracting 12 from 15.  ,<scratch>To subtract 12 from 15, we can think of it as subtracting the digits in each place value. Subtracting 5 and 2 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Paul had 71 books. After selling some in a garage sale he bought 38 new ones. If he has 116 books now How many more books did he buy than he sold? The word problem can be solved by subtracting 71 from 116.  ,<scratch>To subtract 71 from 116, we can think of it as subtracting the digits in each place value. Subtracting 6 and 1 gives 5. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 45. </scratch>,45
Kelly has 20 nintendo games and 70 sony games. How many nintendo games does she need to give away so that she will have 12 nintendo games left? The word problem can be solved by subtracting 12 from 20.  ,<scratch>To subtract 12 from 20, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 8. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Julia played tag with 11 kids on monday. She played tag with 12 kids on tuesday. How many more kids did she play with on tuesday than on monday? The word problem can be solved by subtracting 11 from 12.  ,<scratch>To subtract 11 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 1 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. The next day she found 7 more bags worth of cans. How many more bags did she have on monday than she found on the next day? The word problem can be solved by subtracting 7 from 8.  ,<scratch>To subtract 7 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 7 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Because of the decision Sofia asked the students to suggest specific types of food. 457 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 63 more students suggested adding mashed potatoes than those that suggested bacon How many students suggested bacon? The word problem can be solved by subtracting 63 from 457.  ,<scratch>To subtract 63 from 457, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. Subtracting 5 and 6 gives 9. After subtracting all digits, we get the difference, which is 404. </scratch>,404
